Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Email,Parent
DC3711334,Comfort Inn and Suites/Fortuna,1583 Riverwalk Dr,,,Fortuna,CA,95540,8138929750,1011,91,1011,,9001256
DC178017,Motel 6/Eureka/M69375,1934 Broadway,,,Eureka,CA,95501,8138929750,1011,91,1011,,9001256
DC6060512,TRAVELODGE/EUREKA,4 4th St,,,Eureka,CA,95501,8138929750,1011,91,1011,,9001256
DC142667,Motel 6/Arcata/M69374,4755 Valley West Blvd,,,Arcata,CA,95521,8138929750,1011,91,1011,,9001256
DC325013,Beachfront Inn,16008 Boat Basin Rd,,,Brookings,OR,97415,8138929750,1011,91,1011,,9001256
DC15523066,Gold Beach Inn,29346 Ellensburg Ave,,,Gold Beach,OR,97444,8138929750,1011,91,1011,,9001256
DC309296,Motel 6/Coos Bay/M69258,1445 N Bayshore Dr,,,Coos Bay,OR,97420,8138929750,1011,91,1011,,9001256
DC196470,Quality Inn/Florence,2475 Highway 101,,,Florence,OR,97439,8138929750,1011,91,1011,,9001256
DC8286,14 West Boutique Hotel,696 S Coast Hwy,,,Laguna Beach,CA,92651,8138929750,1011,91,1011,,9001256
DC3324799,Quality Inn/ San Clemente,1301 N El Camino Real,,,San Clemente,CA,92672,8138929750,1011,91,1011,,9001256
DC4287389,Sonesta Simply Sts Orange Cty Irvin,3 S Pointe Dr,,,LAKE FOREST,CA,92630,8138929750,1011,91,1011,,9001256
DC778351,Baymont Inn/Suites/San Diego Downto,719 Ash St,,,San Diego,CA,92101,8138929750,1011,91,1011,,9001256
DC17916404,AndrewCastagnola,3851 Bandini st,,,San Diego,CA,92110,8138929750,1011,91,1011,,9001256
DC6096099,SureStay/San Diego Point Loma,3333 Channel Way,,,SAN DIEGO,CA,92110,8138929750,1011,91,1011,,9001256
DC355235,Comfort Inn/San Diego,3880 Greenwood St,,,San Diego,CA,92110,8138929750,1011,91,1011,,9001256
DC6038040,World Mark Mission Valley,425 Camino Del Rio S,,,San Diego,CA,92108,8138929750,1011,91,1011,,9001256
DC1572009,Mission View Inn and Suites,641 Camino Del Rio S,,,San Diego,CA,92108,8138929750,1011,91,1011,,9001256
