Brand,Category,Type
"CURTIS, 5890451, TWIN AP/B D1000GT 220V",Airpot Brewers,Equipment
"CURTIS, 5890625, TWIN AP/B D1000GT DUAL VOLTAGE",Airpot Brewers,Equipment
"CURTIS, 5890429, 3 STATION DECANTER 2/1 ALP3GT 110V",Decanter Brewers,Equipment
"CURTIS, 5890437, 3 STATION DECANTER 0/3 ALP3GTR LP RIGHT DUAL VOLTAGE",Decanter Brewers,Equipment
"CURTIS, 5890440, 3 STATION DECANTER 0/3 ALP3GTL LP LEFT DUAL VOLTAGE",Decanter Brewers,Equipment
"CURTIS, 5890443, 5 STATION DECANTER 0/5 ALP5GT DUAL VOLTAGE",Decanter Brewers,Equipment
"CURTIS, 5890759, 6 STATION TWIN DECANTER 4/2 ALP6GTN 220V 40A",Decanter Brewers,Equipment
"CURTIS, 5899170, POUROVER AP/B CAFE0AP 110V/15A",Pourovers,Equipment
"CURTIS, 5899166, 1 STATION DECANTER P/O 0/1 CAFE1DB 110V/15A",Pourovers,Equipment
"CURTIS, 5899167, 2 STATION DECANTER P/O 1/1 CAFE2DB 110V/15A",Pourovers,Equipment
"CURTIS, 5899169, 3 STATION DECANTER P/O 0/3 CAFE3DB 110V/15A",Pourovers,Equipment
"CURTIS, 5893266, LOW PROFILE THERMAL CARAFE CAFE0PP 110V/15A",Pourovers,Equipment
"CURTIS, 5890617, 1.5 GAL. SINGLE SHUTTLE GEMSS 110V",Shuttle Brewers,Equipment
"CURTIS, 5893533, 1.5 GAL. TWIN SHUTTLE GEMTS 220V",Shuttle Brewers,Equipment
"CURTIS, 58100515, 1.5 GAL. TWIN SHUTTLE INTELLIFRESH GEMIF G3 220V",Shuttle Brewers,Equipment
"CURTIS, 58100547, THRML: TLP II Brewer",Thermal Brewers,Equipment
"CURTIS, 5898953, THERMAL D60GT DUAL VOLTAGE",Thermal Brewers,Equipment
"CURTIS, 5890470, 1.5 GAL. TWIN THERMAL TP15T 220V (NO SERVERS)",Thermal Brewers,Equipment
"CURTIS, 5890474, 1.5 GAL. SINGLE THERMAL TP15S DUAL VOLTAGE (NO SERVERS)",Thermal Brewers,Equipment
"CURTIS, 5893471, 1.5 GAL. TWIN THERMAL TP15T 220V 3PH (NO SERVERS)",Thermal Brewers,Equipment
"CURTIS, 58100312, 1 GAL. TWIN THERMAL TP1TT 220V (NO SERVERS)",Thermal Brewers,Equipment
"FETCO, 5893497, 1.5 GAL. SNGL THRML CBS-2151 220V/1PH/26A",Thermal Brewers,Equipment
"SPECIALTY CURTIS, 58100590, 3 GAL. SNGL THRML: OMGS 3 GAL. G4",Thermal Brewers,Equipment
"SPECIALTY CURTIS, 58100522, 3 GAL. TWN THRML: OMGT10 3 G4 220V 1/3PH 40A 5W",Thermal Brewers,Equipment
"SPECIALTY CURTIS, 58100545, 3 GAL. TWN THRML: OMGT16 G4 220V 3PH 4W",Thermal Brewers,Equipment
"SPECIALTY FETCO, 58100599, 3 GAL. CBS2162XTS - 3PH ONLY, ADD ELECTRICAL CONFIGURATION",Thermal Brewers,Equipment
"CURTIS, 5899788, 3 GAL. SINGLE RU-150-12 - 220V 5KW 1PH",High Volume,Equipment
"CURTIS, 5891314, 3 GAL. TWIN RU-300-74 - 220V 1PH 3W+G",High Volume,Equipment
"CURTIS, 5891702, 3 GAL. TWIN RU-300-20 - 220V/30A 3PH",High Volume,Equipment
"SPECIALTY CURTIS, 5891272, 6 GAL. TWIN RU-600-12 - 220V/40A",High Volume,Equipment
"SPECIALTY CURTIS, 5891462, 6 GAL. TWIN RU-600-20 - 220V/30A 3PH 10.5KW",High Volume,Equipment
"CURTIS, 5895661, 10 GAL. TWIN RU-1000-20 - 220V/30A 3PH",High Volume,Equipment
"SPECIALTY CURTIS, 5890746, 10 GAL. TWIN RU-1000-12 - 220V/50A",High Volume,Equipment
"BUNN, 9500562, 2 PRODUCT SS LIQUID COFFEE LCA-2",Liquid Coffee,Equipment
"BUNN, 9500618, 2 PRODUCT SS LIQUID COFFEE LOW PROFILE LCA-2LP",Liquid Coffee,Equipment
"SPECIALTY Smuckers (DELAYED ITEM - REFURB ONLY), 58100523, 2 PRODUCT HV-3, HIGH VOLUME BUNN",Liquid Coffee,Equipment
"Smuckers (DELAYED ITEM - REFURB ONLY), 58100467, 2 PRODUCT NG300 BUTTON 220V/30A",Liquid Coffee,Equipment
"Smuckers (DELAYED ITEM - REFURB ONLY), 58100604, 2 PRODUCT NG300 CAFÉ COOL BUTTON 220V/30A",Liquid Coffee,Equipment
"Smuckers (DELAYED ITEM - REFURB ONLY), 58100611, 1 PRODUCT NG110B, Button 110V",Liquid Coffee,Equipment
"CURTIS, 5890269, 3 PRODUCT CAPP/M PCGT 110V",Cappuccino - Hot Cocoa,Equipment
"CURTIS, 5890276, 5 PRODUCT CAPP/M PCGT 110V",Cappuccino - Hot Cocoa,Equipment
